id_secundario,nombre_secundario,id_canonico,nombre_canonico,norm_name,sexo,nocs,part_secundario,part_canonico
223827,va (-hammerl),223823,va (-hammerl),va (-hammerl),female,94,1,1
223828,va (-hammerl),223823,va (-hammerl),va (-hammerl),female,94,1,1
223829,va (-hammerl),223823,va (-hammerl),va (-hammerl),female,94,1,1
223834,Mara Formeiro,223833,Mara Formeiro,mara formeiro,female,10,1,1
255014,Jos Cuevas,255013,Jos Cuevas,jos cuevas,male,42,1,1
223838,Miraildes Mota,223837,Miraildes Mota,miraildes mota,female,31,1,1
223839,Miraildes Mota,223837,Miraildes Mota,miraildes mota,female,31,1,1
223840,Miraildes Mota,223837,Miraildes Mota,miraildes mota,female,31,1,1
223841,Miraildes Mota,223837,Miraildes Mota,miraildes mota,female,31,1,1
223842,Miraildes Mota,223837,Miraildes Mota,miraildes mota,female,31,1,1
223847,Erick Lvarez,223846,Erick Lvarez,erick lvarez,male,55,1,1
223848,Erick Lvarez,223846,Erick Lvarez,erick lvarez,male,55,1,1
223849,Erick Lvarez,223846,Erick Lvarez,erick lvarez,male,55,1,1
223850,Erick Lvarez,223846,Erick Lvarez,erick lvarez,male,55,1,1
223856,Elizabeth Forrest,223855,Elizabeth Forrest,elizabeth forrest,female,14,1,1
223857,Elizabeth Forrest,223855,Elizabeth Forrest,elizabeth forrest,female,14,1,1
223862,Anders Forsblom,223861,Anders Forsblom,anders forsblom,male,72,1,1
223868,Thomas Forslw,223867,Thomas Forslw,thomas forslw,male,200,1,1
223877,Eino Forsstrm,223876,Eino Forsstrm,eino forsstrm,male,72,1,1
223890,Timothy Forsyth,223889,Timothy Forsyth,timothy forsyth,male,14,1,1
223891,Timothy Forsyth,223889,Timothy Forsyth,timothy forsyth,male,14,1,1
223894,Jaume Mauri,223893,Jaume Mauri,jaume mauri,male,67,1,1
223895,Jaume Mauri,223893,Jaume Mauri,jaume mauri,male,67,1,1
223923,Ana Pineda,223922,Ana Pineda,ana pineda,female,93,1,1
223924,Ana Pineda,223922,Ana Pineda,ana pineda,female,93,1,1
223925,Ana Pineda,223922,Ana Pineda,ana pineda,female,93,1,1
223926,Ana Pineda,223922,Ana Pineda,ana pineda,female,93,1,1
223927,Ana Pineda,223922,Ana Pineda,ana pineda,female,93,1,1
223928,Ana Pineda,223922,Ana Pineda,ana pineda,female,93,1,1
223929,Ana Pineda,223922,Ana Pineda,ana pineda,female,93,1,1
223930,Ana Pineda,223922,Ana Pineda,ana pineda,female,93,1,1
223931,Ana Pineda,223922,Ana Pineda,ana pineda,female,93,1,1
223932,Ana Pineda,223922,Ana Pineda,ana pineda,female,93,1,1
223934,Claudia Pineda,223933,Claudia Pineda,claudia pineda,female,93,1,1
223935,Claudia Pineda,223933,Claudia Pineda,claudia pineda,female,93,1,1
223936,Claudia Pineda,223933,Claudia Pineda,claudia pineda,female,93,1,1
223937,Claudia Pineda,223933,Claudia Pineda,claudia pineda,female,93,1,1
223938,Claudia Pineda,223933,Claudia Pineda,claudia pineda,female,93,1,1
223940,Rafael Chacn,223939,Rafael Chacn,rafael chacn,male,55,1,1
223941,Rafael Chacn,223939,Rafael Chacn,rafael chacn,male,55,1,1
223942,Rafael Chacn,223939,Rafael Chacn,rafael chacn,male,55,1,1
223943,Rafael Chacn,223939,Rafael Chacn,rafael chacn,male,55,1,1
223951,Juan Vidal,223950,Juan Vidal,juan vidal,male,67,1,1
223952,Juan Vidal,223950,Juan Vidal,juan vidal,male,67,1,1
223953,Juan Vidal,223950,Juan Vidal,juan vidal,male,67,1,1
223954,Juan Vidal,223950,Juan Vidal,juan vidal,male,67,1,1
223957,Harold Foskett,223956,Harold Foskett,harold foskett,male,78,1,1
223964,Ingrid -lehmann),223963,Ingrid -lehmann),ingrid -lehmann),female,83,1,1
223965,Ingrid -lehmann),223963,Ingrid -lehmann),ingrid -lehmann),female,83,1,1
223966,Ingrid -lehmann),223963,Ingrid -lehmann),ingrid -lehmann),female,83,1,1
223967,Ingrid -lehmann),223963,Ingrid -lehmann),ingrid -lehmann),female,83,1,1
223968,Ingrid -lehmann),223963,Ingrid -lehmann),ingrid -lehmann),female,83,1,1
223969,Ingrid -lehmann),223963,Ingrid -lehmann),ingrid -lehmann),female,83,1,1
223970,Ingrid -lehmann),223963,Ingrid -lehmann),ingrid -lehmann),female,83,1,1
223971,Ingrid -lehmann),223963,Ingrid -lehmann),ingrid -lehmann),female,83,1,1
223972,Ingrid -lehmann),223963,Ingrid -lehmann),ingrid -lehmann),female,83,1,1
223973,Ingrid -lehmann),223963,Ingrid -lehmann),ingrid -lehmann),female,83,1,1
223974,Ingrid -lehmann),223963,Ingrid -lehmann),ingrid -lehmann),female,83,1,1
223987,Patricia Foster,223986,Patricia Foster,patricia foster,female,38,1,1
224012,Randolph Hutchinson,224011,Randolph Hutchinson,randolph hutchinson,male,52,1,1
224015,Sally (-hunter),224014,Sally (-hunter),sally (-hunter),female,14,1,1
224022,Timothy Foster,224021,Timothy Foster,timothy foster,male,78,1,1
224023,Timothy Foster,224021,Timothy Foster,timothy foster,male,78,1,1
224025,William Foster,224024,William Foster,william foster,male,78,1,1
224026,William Foster,224024,William Foster,william foster,male,78,1,1
224027,William Foster,224024,William Foster,william foster,male,78,1,1
224028,William Foster,224024,William Foster,william foster,male,78,1,1
224029,William Foster,224024,William Foster,william foster,male,78,1,1
224034,John Sr.,224033,John Sr.,john sr.,male,103,1,1
224035,John Sr.,224033,John Sr.,john sr.,male,103,1,1
224036,John Sr.,224033,John Sr.,john sr.,male,103,1,1
224037,John Sr.,224033,John Sr.,john sr.,male,103,1,1
246758,John Sr.,246757,John Sr.,john sr.,male,223,1,1
246759,John Sr.,246757,John Sr.,john sr.,male,223,1,1
255129,John Sr.,255128,John Sr.,john sr.,male,155,1,1
224042,Robert Foth,224041,Robert Foth,robert foth,male,223,1,1
224043,Robert Foth,224041,Robert Foth,robert foth,male,223,1,1
224045,Samu (fleck-),224044,Samu (fleck-),samu (fleck-),male,94,1,1
224058,Fakhredin Gor,224057,Fakhredin Gor,fakhredin gor,male,107,1,1
224067,douard Fouchier,224066,douard Fouchier,douard fouchier,male,73,1,1
224082,Ziga Foufou,224081,Ziga Foufou,ziga foufou,female,44,1,1
224084,Benjamin Fouhy,224083,Benjamin Fouhy,benjamin fouhy,male,157,1,1
224085,Benjamin Fouhy,224083,Benjamin Fouhy,benjamin fouhy,male,157,1,1
224086,Benjamin Fouhy,224083,Benjamin Fouhy,benjamin fouhy,male,157,1,1
224088,June -reynolds),224087,June -reynolds),june -reynolds),female,78,1,1
224089,June -reynolds),224087,June -reynolds),june -reynolds),female,78,1,1
224090,June -reynolds),224087,June -reynolds),june -reynolds),female,78,1,1
224091,June -reynolds),224087,June -reynolds),june -reynolds),female,78,1,1
224103,Lon Fourneau,224102,Lon Fourneau,lon fourneau,male,21,1,1
224117,ngel Rodrguez,224116,ngel Rodrguez,ngel rodrguez,male,55,1,1
224118,ngel Rodrguez,224116,ngel Rodrguez,ngel rodrguez,male,55,1,1
224130,Robert Fowler,224129,Robert Fowler,robert fowler,male,176,1,1
224131,Robert Fowler,224129,Robert Fowler,robert fowler,male,176,1,1
224132,Robert Fowler,224129,Robert Fowler,robert fowler,male,176,1,1
224133,Robert Fowler,224129,Robert Fowler,robert fowler,male,176,1,1
224134,Robert Fowler,224129,Robert Fowler,robert fowler,male,176,1,1
224135,Robert Fowler,224129,Robert Fowler,robert fowler,male,176,1,1
224146,Harold Fowler,224145,Harold Fowler,harold fowler,male,78,1,1
224147,Harold Fowler,224145,Harold Fowler,harold fowler,male,78,1,1
224156,Daniel Fox,224155,Daniel Fox,daniel fox,male,78,1,1
224158,Jessica Fox,335657,Jessica Fox,jessica fox,female,14,1,3
224159,Jessica Fox,335657,Jessica Fox,jessica fox,female,14,1,3
224161,Jeremy Fox,224160,Jeremy Fox,jeremy fox,male,78,1,1
224162,Jeremy Fox,224160,Jeremy Fox,jeremy fox,male,78,1,1
224163,Jeremy Fox,224160,Jeremy Fox,jeremy fox,male,78,1,1
