nombre_normalizado,ids_involucrados,identidad_canonica_propuesta,nombre_muestra,clasificacion,evidencia_a_favor,conflictos,participaciones_por_id,cantidad_ids,nota
paige parenti,229973;229974,229973,Paige (-parenti),REVIEW,nombre_auxiliar_comun,,229973:1;229974:1,2,No se aplica merge; requiere revisión.
helen gordon mckay,229980;229981;229982,229980,Helen Gordon-mckay,REVIEW,nombre_auxiliar_comun,,229980:1;229981:1;229982:1,3,No se aplica merge; requiere revisión.
arthur gore,229985;229986;229987;229988,229985,Arthur Gore,REVIEW,nombre_auxiliar_comun,,229985:1;229986:1;229987:1;229988:1,4,No se aplica merge; requiere revisión.
jerzy gorgo,230004;230005,230004,Jerzy Gorgo,REVIEW,nombre_auxiliar_comun,,230004:1;230005:1,2,No se aplica merge; requiere revisión.
james gorman,230013;230014,230013,James Gorman,REVIEW,nombre_auxiliar_comun,,230013:1;230014:1,2,No se aplica merge; requiere revisión.
ngel palacios,230034;230035;230036;230037,230034,ngel Palacios,REVIEW,nombre_auxiliar_comun,,230034:1;230035:1;230036:1;230037:1,4,No se aplica merge; requiere revisión.
antonio ceballos,230038;230039;230040;230041,230038,Antonio Ceballos,REVIEW,nombre_auxiliar_comun,,230038:1;230039:1;230040:1;230041:1,4,No se aplica merge; requiere revisión.
gustavo mauro,230046;230047,230046,Gustavo Mauro,REVIEW,nombre_auxiliar_comun,,230046:1;230047:1,2,No se aplica merge; requiere revisión.
emanuel gorek,230055;230056,230055,Emanuel Gorek,REVIEW,nombre_auxiliar_comun,,230055:1;230056:1,2,No se aplica merge; requiere revisión.
henryk grski,230061;230062;230063;230064;230065,230061,Henryk Grski,REVIEW,nombre_auxiliar_comun,,230061:1;230062:1;230063:1;230064:1;230065:1,5,No se aplica merge; requiere revisión.
moiss garca,230073;230074,230073,Moiss Garca,REVIEW,nombre_auxiliar_comun,,230073:1;230074:1,2,No se aplica merge; requiere revisión.
william gosbee,230075;230076;230077;230078;230079;230080,230075,William Gosbee,REVIEW,nombre_auxiliar_comun,,230075:1;230076:1;230077:1;230078:1;230079:1;230080:1,6,No se aplica merge; requiere revisión.
gustav goler,230086;230087,230086,Gustav Goler,REVIEW,nombre_auxiliar_comun,,230086:1;230087:1,2,No se aplica merge; requiere revisión.
carl ii,230088;230089,230088,Carl Ii,REVIEW,nombre_auxiliar_comun,,230088:1;230089:1,2,No se aplica merge; requiere revisión.
francis gosling,230091;230092,230091,Francis Gosling,REVIEW,nombre_auxiliar_comun,,230091:1;230092:1,2,No se aplica merge; requiere revisión.
