componente_evento,miembros,nombres,tamano,deportes,disciplinas,generos,pares_evaluados,pares_safe,pares_conflict_review,pares_faltantes,coexistencia,clasificacion,id_evento_canonico_propuesto,nombre_canonico_propuesto,razon
EV00083,372;1183,"Unlimited, Two Hands, Men (Intercalated) | Unlimited, Two Hands, Men (Olympic)",2,tug of war,tug of war,men,1,1,0,0,,SAFE_EVENT_COMPONENT,1183,"Unlimited, Two Hands, Men (Intercalated)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00084,376;1057,"Discus Throw, Greek Style, Men (Intercalated) | Discus Throw, Greek Style, Men (Olympic)",2,athletics,athletics,men,1,1,0,0,,SAFE_EVENT_COMPONENT,376,"Discus Throw, Greek Style, Men (Intercalated)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00085,379;735,"Unlimited, Two Hands, Men (Intercalated) | Unlimited, Two Hands, Men (Olympic)",2,athletics,athletics,men,1,1,0,0,,SAFE_EVENT_COMPONENT,379,"Unlimited, Two Hands, Men (Intercalated)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00086,383;1928;2736,"Athletics Men's Shot Put | Men's Shot Put | Shot Put, Men (Olympic)",3,athletics,athletics,men,3,2,0,0,,SAFE_EVENT_COMPONENT,1928,Athletics Men's Shot Put,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00087,393;2097;2951,"Athletics Men's Discus Throw | Discus Throw, Men (Olympic) | Men's Discus Throw",3,athletics,athletics,men,3,2,0,0,,SAFE_EVENT_COMPONENT,2097,Athletics Men's Discus Throw,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00088,395;2016;2869,"Athletics Men's Hammer Throw | Hammer Throw, Men (Olympic) | Men's Hammer Throw",3,athletics,athletics,men,3,2,0,0,,SAFE_EVENT_COMPONENT,2016,Athletics Men's Hammer Throw,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00089,398;2062;2696,"Athletics Men's Javelin Throw | Javelin Throw, Men (Olympic) | Men's Javelin Throw",3,athletics,athletics,men,3,2,0,0,,SAFE_EVENT_COMPONENT,2062,Athletics Men's Javelin Throw,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00090,406;2242;2945,"Fencing Women's Foil, Individual | Foil, Individual, Women (Olympic) | Women's Foil Individual",3,fencing,fencing,women,3,2,0,0,,SAFE_EVENT_COMPONENT,2242,"Fencing Women's Foil, Individual","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00091,407;2212;2946,"Fencing Women's Foil, Team | Foil, Team, Women (Olympic) | Women's Foil Team",3,fencing,fencing,women,3,2,0,0,,SAFE_EVENT_COMPONENT,2212,"Fencing Women's Foil, Team","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00092,408;2083;2706,"Fencing Women's epee, Individual | Women's Épée Individual | Épée, Individual, Women (Olympic)",3,fencing,fencing,women,3,2,0,0,,SAFE_EVENT_COMPONENT,2083,"Fencing Women's epee, Individual","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00093,409;2432;2968,"Fencing Women's epee, Team | Women's Épée Team | Épée, Team, Women (Olympic)",3,fencing,fencing,women,3,2,0,0,,SAFE_EVENT_COMPONENT,2432,"Fencing Women's epee, Team","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00094,410;2004;2732,"Fencing Men's Foil, Team | Foil, Team, Men (Olympic) | Men's Foil Team",3,fencing,fencing,men,3,2,0,0,,SAFE_EVENT_COMPONENT,2004,"Fencing Men's Foil, Team","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00095,411;1957;2956,"Fencing Men's epee, Team | Men's Épée Team | Épée, Team, Men (Olympic)",3,fencing,fencing,men,3,2,0,0,,SAFE_EVENT_COMPONENT,1957,"Fencing Men's epee, Team","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00096,412;694,"100 metres Freestyle, Men (Intercalated) | 100 metres Freestyle, Men (Olympic)",2,aquatics,swimming,men,1,1,0,0,,SAFE_EVENT_COMPONENT,694,"100 metres Freestyle, Men (Intercalated)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
