id_evento,nombre,deporte,disciplina,genero,categoria_edad,condicion_medalla,modalidad,team_individual,distancia_normalizada,distancia_compuesta,categoria_peso,aparato,numero_participantes,youth,non_medal,modificadores_restantes,redundancia_padre,semantic_key,fuentes
2341,Biathlon Women's 10 kilometres Pursuit,,,,adult,medal,pursuit,,10:km,,,,,NO,NO,biathlon,0,"["""", """", """", ""adult"", ""medal"", [""pursuit""], [""10:km""], [], [], [""biathlon""]]",
2342,Biathlon Women's 12.5 kilometres Mass Start,,,,adult,medal,,,12.5:km,,,,,NO,NO,biathlon | mass | start,0,"["""", """", """", ""adult"", ""medal"", [], [""12.5:km""], [], [], [""biathlon"", ""mass"", ""start""]]",
2343,Biathlon Women's 4 x 6 kilometres Relay,,,,adult,medal,relay,,6:km,,,,relay,NO,NO,4 | biathlon | x,0,"["""", """", """", ""adult"", ""medal"", [""relay""], [""6:km""], [], [], [""4"", ""biathlon"", ""x""]]",
2344,"Fencing Women's Sabre, Team",fencing,fencing,women,adult,medal,team,team,,,,,team,NO,NO,sabre,0,"[""fencing"", ""fencing"", ""women"", ""adult"", ""medal"", [""team""], [], [], [], [""sabre""]]",fuente2 | fuente3
2345,Shooting Men's Double Trap,shooting,shooting,men,adult,medal,double,,,,,,double,NO,NO,trap,0,"[""shooting"", ""shooting"", ""men"", ""adult"", ""medal"", [""double""], [], [], [], [""trap""]]",fuente2 | fuente3
2346,Weightlifting Men's Bantamweight,,,,adult,medal,,,,,,,,NO,NO,bantamweight | weightlifting,0,"["""", """", """", ""adult"", ""medal"", [], [], [], [], [""bantamweight"", ""weightlifting""]]",
2347,Taekwondo Men's Heavyweight,,,,adult,medal,heavyweight,,,,,,,NO,NO,taekwondo,0,"["""", """", """", ""adult"", ""medal"", [""heavyweight""], [], [], [], [""taekwondo""]]",
2348,Sailing Mixed Windsurfer,,,,adult,medal,mixed,,,,,,,NO,NO,sailing | windsurfer,0,"["""", """", """", ""adult"", ""medal"", [""mixed""], [], [], [], [""sailing"", ""windsurfer""]]",
2349,Taekwondo Women's Welterweight,,,,adult,medal,,,,,,,,NO,NO,taekwondo | welterweight,0,"["""", """", """", ""adult"", ""medal"", [], [], [], [], [""taekwondo"", ""welterweight""]]",
2350,"Shooting Mixed Free Rifle, Three Positions, 300 metres",,,,adult,medal,mixed,,300:m,,,,,NO,NO,free | positions | rifle | shooting | three,0,"["""", """", """", ""adult"", ""medal"", [""mixed""], [""300:m""], [], [], [""free"", ""positions"", ""rifle"", ""shooting"", ""three""]]",
